COMPANY NAME,ADDRESS,CATEGORY,START DATE,EXPIRY DATE
Onmobile Nigeria Telecom Limited,"Adol House 15, CIPM Avenue Alausa Ikeja Lagos ",Value Added Services SCN ,01/03/2023,28/02/2028
Value Added Network Solution Nigeria Limited (VANSO),"Plot 12A, Oko-Awo Street, Victoria Island, Lagos.",Value Added Services SCN ,01/04/2023,31/03/2028
Terragon Limited,"2A Ahmed Onibudo Street, Victoria Island Lagos",Value Added Services SCN ,01/05/2023,30/04/2028
Avyra Systems Limited,"Plot B, Block 12e, Admiralty way, Lekki phase1, Lagos.",Value Added Services SCN ,01/06/2023,31/05/2028
70TH Precinct Limited,"29, Ladipo Oluwole Street, off Adeniyi Jones Avenue Ikeja Lagos",Value Added Services SCN ,01/06/2023,31/05/2028
Adnol Multimedia Ltd,"Romay Garden Estate, RR 26House, Lekki-Ajah, Lagos.",Value Added Services SCN ,01/06/2023,31/05/2028
Comviva Technologies Nigeria Limited,"Coscharis Plaza, 3rd Floor, 68A Adeola Odeku Street, Victoria Island Lagos.",Value Added Services SCN ,01/05/2023,30/04/2028
One97 Communications Nigeria Limited,"ADOL House, 15 CIPM Avenue, Alausa Ikeja Lagos ",Value Added Services SCN ,01/03/2024,28/02/2029
Vector Telecom Services Limited ( Formerly  Samsson Systems and Investment Limited),"Block C, Flat 22, 12th Floor, Eko Court Complex, 175/178 Kofo Abayomi Street, Victoria Island, Lagos.",Value Added Services SCN ,01/04/2024,31/03/2029
Creditswitch Limited,"931 Place, 93B Oduduwa Crecent, Ikeja GRA, Lagos.",Value Added Services SCN ,01/04/2024,31/03/2029
Smartload Nigeria Limited,"16, Boyle Street, Onikan, Lagos",Value Added Services SCN ,01/04/2024,31/03/2029
YellowDot  Africa Nigeria Limited,Post office building adeola odeku,Value Added Services SCN ,01/06/2024,31/05/2029
Cloud Interactive Associates Limited,"19, Ajao Road, Off Adeniyi Jones Avenue, Ikeja, Lagos State",Value Added Services SCN ,01/07/2024,30/06/2029
NZMobile Nigeria Limited,"15, Shagamu Avenue, Off Association Avenue, Ilupeju, Lagos.",Value Added Services SCN ,01/07/2024,30/06/2029
MSR Innovations Nigeria Limited,"4th Floor, Lindev Plaza, Amodu Ojikutu Street, Victoria Island, Lagos, Nigeria",Value Added Services SCN ,01/08/2024,31/07/2029
Mpedigree Network Nigeria Ltd,"11B, Fagba Crescent, Agidingbi, Ikeja, Lagos.",Value Added Services SCN ,01/08/2024,31/07/2029
Huawei Technologies Company (Nigeria) Limited,"8th Floor, Oriental Hotel Building II No 4, Lekki Road, Victoria Island, Lagos, Nigeria.",Value Added Services SCN ,01/09/2024,31/08/2029
Nairtime Nigeria Limited,"11, Abimbola Awoniyi Close, Off Kasumu Ekemode Street, Via Saka Tinubu Street, Victoria Island, Lagos.",Value Added Services SCN ,01/01/2025,31/12/2029
Total Spin Nigeria Limited,"12, Landbridge Avenue, Oniru Estate, Victoria Island, Lagos",Value Added Services SCN ,01/03/2025,28/02/2030
TelcoVas Solutions and Services Ltd,2A Osborne Road Ikoyi Lagos,Value Added Services SCN ,01/12/2024,30/11/2029
Cedarview Communications Limited,"Plot 724A, Babatunde Atere Street, Omole Phase II, Lagos.",Value Added Services SNS ,01/02/2025,31/01/2030
Tetragrammaton International Limited,"47, Awolowo Road, Ikoyi, Lagos.",Value Added Services SCN ,01/03/2025,28/02/2030
Mobility Arts Nigeria Limited,"House 23, D Plot 38, Durba Road, Amuwo Odofin Estate, Lagos.",Value Added Services SCN ,01/03/2025,28/02/2030
Sunych Integrated Services Limited,"39D, Shakiru Anjorin Street, Lekki, Lagos.",Value Added Services SCN ,01/07/2025,30/06/2030
Holla Tags Limited,"No 21A, Oluwakayode Jacobs Crescent, Lekki Phase 1, Lagos.",Value Added Services SCN ,01/07/2025,30/06/2030
